I,0.00,0.50,60.00,,31.00,9.10,400.00,40.00,10.00,4.00,0.10,0.40,0.20,0.30,2.00,65.00,200.00,200.00,110.00,0.27,30.00,100.00,15.00,2.00,0.40,0.12,0.18
I,0.50,1.00,95.00,,30.00,11.00,500.00,50.00,10.00,5.00,0.30,0.50,0.30,0.40,4.00,80.00,260.00,220.00,130.00,11.00,75.00,275.00,20.00,3.00,0.70,0.37,0.57
C,1.00,4.00,130.00,19.00,,13.00,300.00,15.00,15.00,6.00,0.50,0.90,0.50,0.50,6.00,150.00,700.00,340.00,90.00,7.00,80.00,460.00,20.00,3.00,3.00,1.00,1.50
C,4.00,9.00,130.00,25.00,,19.00,400.00,25.00,15.00,7.00,0.60,1.20,0.60,0.60,8.00,200.00,1000.00,440.00,90.00,10.00,130.00,500.00,30.00,5.00,3.80,1.20,1.90
M,9.00,14.00,130.00,31.00,,34.00,600.00,45.00,15.00,11.00,1.00,1.80,0.90,0.90,12.00,300.00,1300.00,700.00,120.00,8.00,240.00,1250.00,40.00,8.00,4.50,1.50,2.30
M,14.00,19.00,130.00,38.00,,52.00,900.00,75.00,15.00,15.00,1.30,2.40,1.20,1.30,16.00,400.00,1300.00,890.00,150.00,11.00,410.00,1250.00,55.00,11.00,4.70,1.50,2.30
M,19.00,31.00,130.00,38.00,,56.00,900.00,90.00,15.00,15.00,1.30,2.40,1.20,1.30,16.00,400.00,1000.00,900.00,150.00,8.00,400.00,700.00,55.00,11.00,4.70,1.50,2.30
M,31.00,51.00,130.00,38.00,,56.00,900.00,90.00,15.00,15.00,1.30,2.40,1.20,1.30,16.00,400.00,1000.00,900.00,150.00,8.00,420.00,700.00,55.00,11.00,4.70,1.50,2.30
M,51.00,71.00,130.00,30.00,,56.00,900.00,90.00,15.00,15.00,1.70,2.40,1.20,1.30,16.00,400.00,1000.00,900.00,150.00,8.00,420.00,700.00,55.00,11.00,4.70,1.30,2.00
M,71.00,,130.00,30.00,,56.00,900.00,90.00,20.00,15.00,1.70,2.40,1.20,1.30,16.00,400.00,1200.00,900.00,150.00,8.00,420.00,700.00,55.00,11.00,4.70,1.20,1.80
F,9.00,14.00,130.00,26.00,,34.00,600.00,45.00,15.00,11.00,1.00,1.80,0.90,0.90,12.00,300.00,1300.00,700.00,120.00,8.00,240.00,1250.00,40.00,8.00,4.50,1.50,2.30
F,14.00,19.00,130.00,26.00,,46.00,700.00,65.00,15.00,15.00,1.20,2.40,1.00,1.00,14.00,400.00,1300.00,890.00,150.00,15.00,360.00,1250.00,55.00,9.00,4.70,1.50,2.30
F,19.00,31.00,130.00,25.00,,46.00,700.00,75.00,15.00,15.00,1.30,2.40,1.10,1.10,14.00,400.00,1000.00,900.00,150.00,18.00,310.00,700.00,55.00,8.00,4.70,1.50,2.30
F,31.00,51.00,130.00,25.00,,46.00,700.00,75.00,15.00,15.00,1.30,2.40,1.10,1.10,14.00,400.00,1000.00,900.00,150.00,18.00,320.00,700.00,55.00,8.00,4.70,1.50,2.30
F,51.00,71.00,130.00,21.00,,46.00,700.00,75.00,15.00,15.00,1.50,2.40,1.10,1.10,14.00,400.00,1200.00,900.00,150.00,8.00,320.00,700.00,55.00,8.00,4.70,1.30,2.00
F,71.00,,130.00,21.00,,46.00,700.00,75.00,20.00,15.00,1.50,2.40,1.10,1.10,14.00,400.00,1200.00,900.00,150.00,8.00,320.00,700.00,55.00,8.00,4.70,1.20,1.80
P,14.00,19.00,175.00,28.00,,71.00,750.00,80.00,15.00,15.00,1.90,2.60,1.40,1.40,18.00,600.00,1300.00,1000.00,220.00,27.00,400.00,1250.00,60.00,12.00,4.70,1.50,2.30
P,19.00,31.00,175.00,28.00,,71.00,770.00,85.00,15.00,15.00,1.90,2.60,1.40,1.40,18.00,600.00,1000.00,1000.00,220.00,27.00,350.00,700.00,60.00,11.00,4.70,1.50,2.30
P,31.00,51.00,175.00,28.00,,71.00,770.00,85.00,15.00,15.00,1.90,2.60,1.40,1.40,18.00,600.00,1000.00,1000.00,220.00,27.00,360.00,700.00,60.00,11.00,4.70,1.50,2.30
L,14.00,19.00,210.00,29.00,,71.00,1200.00,115.00,15.00,19.00,2.00,2.80,1.40,1.60,17.00,500.00,1300.00,1300.00,290.00,10.00,360.00,1250.00,70.00,13.00,5.10,1.50,2.30
L,19.00,31.00,210.00,29.00,,71.00,1300.00,120.00,15.00,19.00,2.00,2.80,1.40,1.60,17.00,500.00,1000.00,1300.00,290.00,9.00,310.00,700.00,70.00,12.00,5.10,1.50,2.30
L,31.00,51.00,210.00,29.00,,71.00,1300.00,120.00,15.00,19.00,2.00,2.80,1.40,1.60,17.00,500.00,1000.00,1300.00,290.00,9.00,320.00,700.00,70.00,12.00,5.10,1.50,2.30
